Eligibile_Status,Successful_Flight,Unsuccessful_Flight,Unsuccessful_Flight_Indicator,Unsuccessful_PAX_Indicator,Eligible_Biometric_DEP_INTL_PAX_Indicator,Eligible_Biometric_Flight_Indicator,Eligible_Biometric_DEP_INTL_PAX,Total_Flights,Eligible_Biometric_Flight,new_start_date_date_format,Total_DEP_INTL_Pax,Gate_Ref,host_carrier_code,flight_number,Origin,scheduled_arrival_station_code,Date,scheduled_departure_time_local,departure_gate,new_Gate_Ref,new_Start_Date,Biometric_Flights,Biometric_Passengers_Matched,BCR,%_Eligible_Flights,Usage_on_Eligible_Flights,BCR_on_Eligible_Flights,Max_acheviable_BCR,Flight_Saturation
Successful,Successful,,0,20,206,1,206,1,1,2021-01-02,206,SFOG2,UA,58,SFO,FRA,2023-04-10,13:50,G2,SFOG2,2021-01-02,1,186,0.90291262,1.0,1.0,0.90291262,1.0,1.0
Successful,Successful,,0,21,188,1,188,1,1,2021-01-02,188,SFOG5,UA,194,SFO,MUC,2023-04-11,13:25,G5,SFOG5,2021-01-02,1,167,0.88829787,1.0,1.0,0.88829787,1.0,1.0
Successful,Successful,,0,18,231,1,231,1,1,2021-01-02,231,SFOG1,UA,990,SFO,CDG,2023-04-28,14:35,G1,SFOG1,2021-01-02,1,213,0.92207792,1.0,1.0,0.92207792,1.0,1.0
Successful,Successful,,0,-19,198,1,198,1,1,2021-01-02,198,SFOG5,UA,863,SFO,SYD,2023-04-04,22:45,G5,SFOG5,2021-01-02,1,217,1.0959596,1.0,1.0,1.0959596,1.0,1.0
Successful,Successful,,0,18,136,1,136,1,1,2021-01-02,136,SFOG5,UA,968,SFO,AMS,2023-04-26,14:35,G5,SFOG5,2021-01-02,1,118,0.86764706,1.0,1.0,0.86764706,1.0,1.0
Successful,Successful,,0,8,178,1,178,1,1,2021-01-02,178,SFOG3,UA,1679,SFO,CUN,2023-04-28,08:45,G3,SFOG3,2021-01-02,1,170,0.95505618,1.0,1.0,0.95505618,1.0,1.0
Successful,Successful,,0,41,350,1,350,1,1,2021-01-02,350,SFOG2,UA,58,SFO,FRA,2023-04-16,13:50,G2,SFOG2,2021-01-02,1,309,0.88285714,1.0,1.0,0.88285714,1.0,1.0
Successful,Successful,,0,19,241,1,241,1,1,2021-01-02,241,SFOG2,UA,115,SFO,PPT,2023-04-04,13:20,G2,SFOG2,2021-01-02,1,222,0.92116183,1.0,1.0,0.92116183,1.0,1.0
Successful,Successful,,0,-14,74,1,0,1,0,,74,SFOF1,UA,412,SFO,MEX,2023-04-11,22:45,F1,,,1,88,1.18918919,1.0,1.0,,0.0,1.0
Successful,Successful,,0,31,285,1,285,1,1,2021-01-02,285,SFOG10,UA,58,SFO,FRA,2023-04-23,13:50,G10,SFOG10,2021-01-02,1,254,0.89122807,1.0,1.0,0.89122807,1.0,1.0
Successful,Successful,,0,37,326,1,326,1,1,2021-01-02,326,SFOG6,UA,857,SFO,PVG,2023-04-19,12:55,G6,SFOG6,2021-01-02,1,289,0.88650307,1.0,1.0,0.88650307,1.0,1.0
Successful,Successful,,0,37,253,1,253,1,1,2021-01-02,253,SFOG9,UA,948,SFO,LHR,2023-04-14,16:00,G9,SFOG9,2021-01-02,1,216,0.85375494,1.0,1.0,0.85375494,1.0,1.0
Successful,Successful,,0,12,226,1,226,1,1,2021-01-02,226,SFOG13,UA,1,SFO,SIN,2023-04-07,22:45,G13,SFOG13,2021-01-02,1,214,0.94690265,1.0,1.0,0.94690265,1.0,1.0
Unsuccessful,,Unsuccessful,1,123,123,1,123,1,1,2021-01-02,123,SFOG2,UA,60,SFO,MEL,2023-04-05,23:20,G2,SFOG2,2021-01-02,0,0,0.0,1.0,0.0,0.0,1.0,0.0
Successful,Successful,,0,26,332,1,332,1,1,2021-01-02,332,SFOG5,UA,837,SFO,NRT,2023-04-03,11:35,G5,SFOG5,2021-01-02,1,306,0.92168675,1.0,1.0,0.92168675,1.0,1.0
Successful,Successful,,0,22,245,1,245,1,1,2021-01-02,245,SFOG5,UA,968,SFO,AMS,2023-04-07,14:35,G5,SFOG5,2021-01-02,1,223,0.91020408,1.0,1.0,0.91020408,1.0,1.0
Successful,Successful,,0,31,259,1,259,1,1,2021-01-02,259,SFOG1,UA,948,SFO,LHR,2023-04-18,16:00,G1,SFOG1,2021-01-02,1,228,0.88030888,1.0,1.0,0.88030888,1.0,1.0
Successful,Successful,,0,53,242,1,242,1,1,2021-01-02,242,SFOG1,UA,930,SFO,LHR,2023-04-15,19:50,G1,SFOG1,2021-01-02,1,189,0.78099174,1.0,1.0,0.78099174,1.0,1.0
Successful,Successful,,0,11,190,1,190,1,1,2021-01-02,190,SFOG4,UA,194,SFO,MUC,2023-04-10,13:25,G4,SFOG4,2021-01-02,1,179,0.94210526,1.0,1.0,0.94210526,1.0,1.0
Successful,Successful,,0,17,171,1,171,1,1,2021-01-02,171,SFOG8,UA,58,SFO,FRA,2023-04-25,13:50,G8,SFOG8,2021-01-02,1,154,0.9005848,1.0,1.0,0.9005848,1.0,1.0
Successful,Successful,,0,35,342,1,342,1,1,2021-01-02,342,SFOG10,UA,871,SFO,TPE,2023-04-17,14:00,G10,SFOG10,2021-01-02,1,307,0.89766082,1.0,1.0,0.89766082,1.0,1.0
Unsuccessful,,Unsuccessful,1,142,142,1,142,1,1,2021-01-02,142,SFOG4,UA,96,SFO,BNE,2023-04-16,23:55,G4,SFOG4,2021-01-02,0,0,0.0,1.0,0.0,0.0,1.0,0.0
